key,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,nickname,rookie_year,state_prov,team_number,events,OPR,DPR,CCWM,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc56,18,18,45,R.O.B.B.E.,1997.0,New Jersey,56,"['2018cmpmi', '2018mrcmp', '2018njbri', '2018njski']",185.69708119434313,69.8176517146934,115.87942947964977,31.0,9.0,3.0,0.0,786.6666666666666,439.3333333333333,2904.0,371.6666666666667
frc58,19,19,47,The Riot Crew,1996.0,Maine,58,"['2018cmpmi', '2018mabri', '2018melew', '2018necmp']",141.49939782135996,79.0214557207263,62.47794210063364,25.333333333333332,8.0,3.6666666666666665,0.0,590.0,319.0,2554.3333333333335,320.0
frc59,20,20,48,RamTech,1997.0,Florida,59,"['2018flor', '2018flwp', '2018hop']",175.14855030882381,36.02332811148694,139.12522219733668,20.666666666666668,6.333333333333333,3.0,0.0,505.0,286.6666666666667,2166.0,270.0
frc60,21,21,49,Bionic Bulldogs,1997.0,Arizona,60,"['2018azfl', '2018nvlv']",106.29297664489283,91.82261112334112,14.47036552155161,16.0,5.5,5.0,0.0,412.5,241.0,1877.5,235.0
frc61,22,22,50,The Intimidators,1995.0,Massachusetts,61,"['2018mawor', '2018necmp', '2018rismi']",141.88635794028394,66.48720033812488,75.39915760215908,25.333333333333332,7.666666666666667,4.333333333333333,0.0,708.3333333333334,395.0,2700.3333333333335,370.0
frc63,23,23,52,McDowell Robotics Team 63,1997.0,Pennsylvania,63,"['2018ohmv', '2018wimi']",129.05733553260768,62.63901061949488,66.41832491311271,18.5,5.5,4.0,0.0,570.0,225.5,1959.5,262.5
frc66,24,24,55,Grizzly Robotics,1998.0,Michigan,66,"['2018mibel', '2018micmp3', '2018micmp', '2018milin']",159.05372723442431,67.36738043134403,91.68634680308037,24.666666666666668,8.0,4.0,0.0,643.3333333333334,410.0,2904.0,370.0
frc67,25,25,56,The HOT Team,1997.0,Michigan,67,"['2018cmpmi', '2018micmp1', '2018micmp', '2018mimil', '2018misou', '2018mitry']",168.76877181313608,71.86050699613696,96.90826481699918,35.5,8.75,3.25,0.0,913.75,424.75,2706.0,316.25
frc68,26,26,57,Truck Town Thunder,1998.0,Michigan,68,"['2018mitry', '2018miwat']",127.90748855173952,78.73806934466106,49.16941920707841,20.5,5.5,6.5,0.0,622.5,381.0,2210.0,307.5
frc69,27,27,58,HYPER,1998.0,Massachusetts,69,"['2018ctsct', '2018mabos']",68.45060974699774,131.40507341342737,-62.954463666429476,15.0,4.5,7.5,0.0,520.0,285.0,2113.0,275.0
frc70,28,28,59,More Martians,1998.0,Michigan,70,"['2018cmpmi', '2018micmp1', '2018miket', '2018mitry']",140.59162604460005,83.66869667227827,56.92292937232176,30.666666666666668,8.666666666666666,3.3333333333333335,0.0,746.6666666666666,414.3333333333333,2810.0,373.3333333333333
frc71,29,29,60,Team Hammond,1996.0,Indiana,71,"['2018cmpmi', '2018incmp', '2018inmis', '2018inwla']",136.37275312862292,70.36322052102615,66.0095326075968,29.333333333333332,8.666666666666666,3.3333333333333335,0.0,716.6666666666666,404.0,2760.0,376.6666666666667
frc74,30,30,62,Team C.H.A.O.S.,1995.0,Michigan,74,"['2018cmpmi', '2018inmis', '2018micmp2', '2018mishe', '2018miwmi']",134.00940837109943,85.93972457249683,48.06968379860262,20.75,6.5,5.5,0.0,590.0,362.75,2530.75,400.0
frc75,31,31,63,RoboRaiders,1996.0,New Jersey,75,"['2018mrcmp', '2018njbri', '2018njski']",123.11029121544213,78.95754920824838,44.15274200719373,24.333333333333332,7.333333333333333,4.666666666666667,0.0,660.0,381.0,2555.0,340.0
frc78,32,32,65,AIR STRIKE,1996.0,Rhode Island,78,"['2018cmpmi', '2018mabri', '2018mawor', '2018necmp', '2018rismi']",140.11389498123705,75.3380340984572,64.77586088277985,25.0,7.75,4.25,0.0,735.0,361.5,2620.5,337.5
frc79,33,33,66,Team Krunch,1998.0,Florida,79,['2018flor'],75.14144387977916,114.11825639701713,-38.97681251723798,11.0,5.0,3.0,0.0,390.0,118.0,1266.0,165.0
frc81,34,34,68,MetalHeads,1994.0,Illinois,81,['2018ilpe'],6.404664790573818,139.25740902375364,-132.85274423317995,8.0,3.0,9.0,0.0,380.0,212.0,1496.0,275.0
frc85,35,35,70,B.O.B. (Built on Brains),1996.0,Michigan,85,"['2018cmpmi', '2018micmp3', '2018misjo', '2018miwmi']",181.8580660235007,62.63912921202118,119.21893681147942,31.333333333333332,9.333333333333334,2.6666666666666665,0.0,750.0,433.3333333333333,3034.6666666666665,390.0
frc86,36,36,71,Team Resistance,1998.0,Florida,86,"['2018flor', '2018flwp']",119.9974483090437,94.98335652655254,25.01409178249122,15.0,4.5,4.5,0.0,425.0,292.5,1786.5,207.5
frc87,37,37,72,Diablo,1997.0,New Jersey,87,"['2018njtab', '2018paphi']",25.68930332208786,161.74482607654863,-136.05552275446067,11.0,3.0,9.0,0.0,532.5,274.0,1641.5,255.0
frc88,38,38,73,TJ(Squared),1996.0,Massachusetts,88,"['2018cmpmi', '2018mabos', '2018mabri', '2018mawor', '2018necmp']",136.06392062572985,51.80494759686964,84.25897302886023,23.5,8.25,3.5,0.0,507.5,317.0,2573.0,313.75
frc93,39,39,77,NEW Apple Corps,1997.0,Wisconsin,93,"['2018mndu', '2018wimi']",138.05830148806663,83.709868430731,54.34843305733558,19.5,6.0,3.5,0.0,532.5,251.5,2056.0,300.0
frc94,40,40,78,The  Ninetyfouriors,1998.0,Michigan,94,"['2018mimid', '2018misou']",107.82777316559671,49.01355180199545,58.81422136360126,15.5,6.5,5.5,0.0,580.0,187.5,2006.0,260.0
frc95,41,41,79,Grasshoppers,1997.0,Vermont,95,"['2018ctsct', '2018melew', '2018necmp', '2018nhgrs']",161.74427879320288,32.503014579446656,129.24126421375624,25.75,8.75,3.0,0.0,573.75,307.5,2724.75,332.5
frc97,42,42,81,Bionic Beef,1996.0,Massachusetts,97,"['2018mabos', '2018mabri']",59.959158728756336,103.66881459716893,-43.70965586841259,13.5,5.0,7.0,0.0,487.5,245.5,1909.0,265.0
frc100,43,43,83,The WildHats,1995.0,California,100,"['2018cada', '2018carv', '2018casf']",103.80009252217825,109.96281581087766,-6.1627232886993575,11.333333333333334,3.6666666666666665,5.666666666666667,0.0,435.0,219.0,1753.3333333333333,240.0
frc101,44,44,84,Striker,1997.0,Illinois,101,['2018ilch'],117.70716117995043,97.72215632278167,19.985004857168782,14.0,4.0,6.0,0.0,510.0,233.0,1785.0,205.0
frc102,45,45,85,The Gearheads,1998.0,New Jersey,102,"['2018mrcmp', '2018njbri', '2018njski']",103.11072681914128,98.276005252238,4.834721566903339,21.333333333333332,7.0,5.0,0.0,593.3333333333334,318.6666666666667,2428.3333333333335,310.0
frc103,46,46,86,Cybersonics,1997.0,Pennsylvania,103,"['2018cmpmi', '2018mrcmp', '2018pahat', '2018paphi']",121.16062455958793,70.7829439808974,50.377680578690565,22.666666666666668,7.0,5.0,0.0,585.0,350.6666666666667,2614.6666666666665,381.6666666666667
frc107,47,47,90,Team R.O.B.O.T.I.C.S.,1997.0,Michigan,107,"['2018mifor', '2018miwat', '2018miwmi']",122.30534182396839,98.47239242694927,23.832949397019117,22.333333333333332,7.0,5.0,0.0,595.0,396.6666666666667,2534.6666666666665,325.0
frc108,48,48,91,SigmaC@T Robotics Team,1995.0,Florida,108,"['2018carv', '2018flor', '2018flwp', '2018tnkn']",104.04387802050074,104.00281455574712,0.04106346475361988,13.5,4.25,5.25,0.0,295.0,223.0,1801.5,230.0
frc111,49,49,93,WildStang,1996.0,Illinois,111,"['2018cmpmi', '2018ilch', '2018wimi']",152.85667951386438,29.738315109477387,123.11836440438698,21.5,8.0,2.0,0.0,485.0,264.0,2386.0,305.0
frc114,50,50,95,Eaglestrike,1997.0,California,114,['2018cave'],67.63404142407846,73.18966965874925,-5.555628234670812,18.0,7.0,5.0,0.0,340.0,218.0,2184.0,250.0
frc115,51,51,96,MVRT,1998.0,California,115,"['2018idbo', '2018utwv']",132.4832492663948,59.597528402809296,72.88572086358548,20.5,7.5,2.5,0.0,500.0,257.5,2142.0,315.0
frc116,52,52,97,Epsilon Delta,1996.0,Virginia,116,"['2018chcmp', '2018vagdc', '2018vahay']",100.11207873028248,117.49895915382842,-17.38688042354595,17.333333333333332,6.0,6.0,0.0,533.3333333333334,274.3333333333333,2206.6666666666665,370.0
frc117,53,53,98,The Steel Dragons,1998.0,Pennsylvania,117,['2018paca'],35.20317225962984,118.00748667893055,-82.80431441930077,13.0,4.0,4.0,0.0,335.0,173.0,1387.0,210.0
frc118,54,54,99,Robonauts,1997.0,Texas,118,"['2018code', '2018new', '2018txda', '2018txpa']",215.51455157992154,34.28449808307199,181.23005349684954,34.25,10.0,1.0,0.0,735.0,410.5,2748.75,337.5
frc120,55,55,100,Cleveland's Team,1995.0,Ohio,120,"['2018nyro', '2018ohcl', '2018tur']",126.21103644625771,115.0063283002745,11.204708145983155,18.666666666666668,4.666666666666667,5.333333333333333,0.0,566.6666666666666,328.3333333333333,2046.3333333333333,400.0
frc121,56,56,101,Rhode Warriors,1996.0,Rhode Island,121,"['2018mabri', '2018rismi']",105.84305753698908,120.69696296551606,-14.85390542852701,16.0,5.0,7.0,0.0,550.0,333.5,2214.0,300.0
frc122,57,57,102,NASA Knights,1997.0,Virginia,122,"['2018chcmp', '2018vahay', '2018vapor']",121.75958109938138,64.81341424256358,56.94616685681782,20.666666666666668,7.333333333333333,4.666666666666667,0.0,498.3333333333333,249.33333333333334,2391.3333333333335,325.0
frc123,58,58,103,Team - Cosmos,1997.0,Michigan,123,"['2018micen', '2018micmp3', '2018migib']",110.24272142619549,85.00199596610052,25.240725460094882,14.666666666666666,5.0,7.0,0.0,513.3333333333334,293.6666666666667,2205.6666666666665,240.0
frc125,59,59,105,NUTRONs,1998.0,Massachusetts,125,"['2018cmpmi', '2018mabos', '2018marea', '2018necmp', '2018rismi', '2018scmb']",175.09235336601404,45.450884926762434,129.64146843925158,28.0,9.0,2.4,0.0,627.0,411.2,2890.0,341.0
frc126,60,60,106,Gael Force,1992.0,Massachusetts,126,"['2018cmpmi', '2018mawor', '2018rismi']",91.51809327963005,119.98801294106798,-28.469919661437864,17.5,5.0,7.0,0.0,597.5,302.5,2062.0,320.0
frc128,61,61,108,The Botcats,1997.0,Ohio,128,['2018ohmv'],54.179534342291994,140.5778563827834,-86.39832204049148,7.0,1.0,8.0,0.0,395.0,184.0,1268.0,125.0
frc131,62,62,110,C.H.A.O.S.,1992.0,New Hampshire,131,"['2018nhdur', '2018nhgrs']",103.5606292565003,55.24007058867549,48.32055866782484,22.5,8.5,3.5,0.0,462.5,243.5,2251.5,280.0
frc133,63,63,112,B.E.R.T.,1997.0,Maine,133,"['2018cmpmi', '2018marea', '2018melew', '2018necmp']",183.93388232733227,65.60250738014905,118.33137494718314,34.333333333333336,9.666666666666666,2.3333333333333335,0.0,841.6666666666666,425.3333333333333,3046.0,370.0
frc135,64,64,114,Penn Robotics,1998.0,Indiana,135,"['2018incmp', '2018inmis', '2018inpla']",118.54990167200667,90.21628970523693,28.333611966769762,19.333333333333332,5.666666666666667,6.333333333333333,0.0,710.0,314.0,2465.3333333333335,371.6666666666667
frc136,65,65,115,Killer Kardinals,1997.0,New Jersey,136,"['2018njbri', '2018njski']",40.42109764867383,158.1561188955996,-117.73502124692575,10.0,3.0,9.0,0.0,460.0,251.5,1464.0,240.0
frc138,66,66,116,Entropy,1996.0,New Hampshire,138,"['2018necmp', '2018nhdur', '2018nhgrs']",106.961547763621,77.69117788378453,29.270369879836462,20.0,6.0,5.666666666666667,0.3333333333333333,561.6666666666666,325.3333333333333,2339.6666666666665,298.3333333333333
frc141,67,67,118,WOBOT,1995.0,Michigan,141,"['2018alhu', '2018cmpmi', '2018micmp3', '2018milsu', '2018miwmi', '2018vahay']",135.86596509690153,73.10405611883267,62.76190897806892,24.4,7.8,4.0,0.0,552.0,359.2,2643.0,272.0
frc144,68,68,119,The R.O.C.K,1994.0,Ohio,144,"['2018ohmv', '2018tnkn']",104.20214601624201,79.63082697649833,24.571319039743713,13.5,4.5,5.0,0.0,450.0,243.0,1801.0,295.0
frc145,69,69,120,T-Rx,1997.0,New York,145,"['2018cmpmi', '2018nyut']",110.69555467292253,69.13437456367205,41.56118010925048,23.0,7.0,5.0,0.0,640.0,358.0,2260.0,350.0
frc148,70,70,123,Robowranglers,1992.0,Texas,148,"['2018code', '2018hop', '2018txda']",263.79437650841504,19.552873257821318,244.24150325059367,32.333333333333336,9.333333333333334,0.6666666666666666,0.0,748.3333333333334,385.3333333333333,2755.6666666666665,320.0
frc151,71,71,124,Tough Techs,1992.0,New Hampshire,151,"['2018nhdur', '2018nhgrs']",47.451829660233685,131.09589942273956,-83.64406976250596,10.0,3.5,8.5,0.0,322.5,208.0,1702.5,262.5
frc155,72,72,126,The Technonuts,1994.0,Connecticut,155,"['2018cthar', '2018ctsct', '2018nhgrs']",85.80004030791326,156.55291273912437,-70.75287243121109,15.666666666666666,4.0,8.0,0.0,501.6666666666667,305.3333333333333,1881.6666666666667,360.0
frc156,73,73,127,RPM  - Robotics Plus Mayhem ,1997.0,Pennsylvania,156,"['2018nyro', '2018paca']",146.22595296470809,110.78640076872148,35.43955219598652,17.5,5.0,4.5,0.0,622.5,264.5,1814.0,335.0
frc157,74,74,128,AZTECHS,1992.0,Massachusetts,157,"['2018cmpmi', '2018mabri', '2018rismi']",104.07219710753196,90.54007225663636,13.532124850895654,18.0,6.0,6.0,0.0,540.0,303.5,2278.5,340.0
frc159,75,75,130,Alpine Robotics,1998.0,Colorado,159,"['2018code', '2018utwv']",127.16136284437377,78.41149725473645,48.74986558963742,16.5,5.0,5.0,0.0,435.0,289.5,1985.0,320.0
frc166,76,76,135,Chop Shop,1995.0,New Hampshire,166,"['2018mabri', '2018nhdur']",77.32145147374214,115.57493308583636,-38.25348161209413,9.5,3.5,8.5,0.0,562.5,227.5,1850.0,332.5
frc167,77,77,136,Children of the Corn,1998.0,Iowa,167,"['2018cmpmi', '2018iacf', '2018wila']",169.15095485296317,32.335457963692484,136.8154968892706,24.5,8.0,1.5,0.0,532.5,263.0,2316.5,292.5
frc171,78,78,139,Cheese Curd Herd,1995.0,Wisconsin,171,"['2018mnmi2', '2018wila']",35.32866839541067,125.25517503167859,-89.92650663626779,8.5,2.5,7.5,0.0,450.0,205.0,1381.0,245.0
frc172,79,79,140,Northern Force,1996.0,Maine,172,"['2018mawor', '2018melew']",92.11413744112494,96.16050300721952,-4.046365566094554,16.0,5.5,6.5,0.0,532.5,254.5,2178.0,237.5
frc173,80,80,141,RAGE Robotics,1995.0,Connecticut,173,"['2018cthar', '2018rismi']",122.35840523467573,101.81326720880155,20.545138025874156,21.0,6.5,5.5,0.0,567.5,329.0,2458.5,352.5
frc174,81,81,142,Arctic Warriors,1998.0,New York,174,['2018nyro'],134.45328917502803,121.47206132449091,12.981227850537255,11.0,3.0,7.0,0.0,530.0,278.0,1823.0,200.0
frc175,82,82,143,Buzz Robotics,1996.0,Connecticut,175,"['2018carv', '2018cthar', '2018necmp', '2018rismi']",146.36602742803362,81.47949496565445,64.8865324623792,26.5,7.25,4.25,0.0,740.0,394.0,2678.75,366.25
frc176,83,83,144,Aces High,1996.0,Connecticut,176,"['2018cmpmi', '2018cthar', '2018ctwat', '2018necmp']",168.66241893050076,53.56751066556948,115.09490826493129,29.0,9.0,3.0,0.0,660.0,440.0,2989.6666666666665,335.0
frc177,84,84,145,Bobcat Robotics,1995.0,Connecticut,177,"['2018cmpmi', '2018cthar', '2018ctwat', '2018necmp']",159.49231654033906,77.43722449758862,82.05509204275047,32.666666666666664,9.0,3.0,0.0,838.3333333333334,393.3333333333333,2852.6666666666665,393.3333333333333
frc178,85,85,146,The 2nd Law Enforcers,1997.0,Connecticut,178,"['2018ctsct', '2018mabri']",117.40480929281262,89.58143856971247,27.823370723100098,18.0,6.0,6.0,0.0,575.0,254.0,2297.0,300.0
frc179,86,86,147,Children of the Swamp,1998.0,Florida,179,"['2018flor', '2018flwp', '2018roe']",204.52711090170027,15.766186404782175,188.76092449691794,25.666666666666668,7.0,2.3333333333333335,0.0,691.6666666666666,311.0,2256.0,275.0
frc180,87,87,148,S.P.A.M.,1998.0,Florida,180,"['2018flor', '2018flwp', '2018hop']",158.45772576845673,43.89244976491338,114.56527600354335,21.0,7.333333333333333,2.0,0.0,450.0,303.6666666666667,2290.0,343.3333333333333
frc181,88,88,149,Birds Of Prey,1998.0,Connecticut,181,"['2018cthar', '2018ctwat']",126.42994169369506,72.593571307059,53.83637038663612,19.0,6.0,6.0,0.0,707.5,313.5,2268.0,362.5
frc188,89,89,153,Blizzard,1998.0,Ontario,188,"['2018cmpmi', '2018oncmp1', '2018onham', '2018onnyo']",114.92854639383451,83.78244417085874,31.14610222297581,25.666666666666668,7.0,5.0,0.0,638.3333333333334,450.0,2580.0,376.6666666666667
frc190,90,90,154,Gompei and the H.E.R.D.,1992.0,Massachusetts,190,"['2018cmpmi', '2018cthar', '2018paphi', '2018rismi']",97.24579350851586,106.01959083603138,-8.773797327515396,19.666666666666668,6.333333333333333,5.666666666666667,0.0,533.3333333333334,329.3333333333333,2349.3333333333335,340.0
frc191,91,91,155,X-CATS,1992.0,New York,191,"['2018cmpmi', '2018nyro', '2018nyut']",112.57528838401126,83.50864497315423,29.06664341085698,20.5,6.0,5.0,0.0,587.5,389.0,2142.0,302.5
frc192,92,92,156,GRT,1997.0,California,192,"['2018casj', '2018txho', '2018utwv']",114.1738104600601,84.60361675214357,29.570193707916516,16.666666666666668,6.333333333333333,3.6666666666666665,0.0,405.0,259.0,1925.3333333333333,341.6666666666667
frc193,93,93,157,MORT Beta,1997.0,New Jersey,193,"['2018njfla', '2018njski']",54.78267303917306,126.93782122978868,-72.15514819061552,14.5,4.5,7.5,0.0,532.5,257.5,1939.5,305.0
frc195,94,94,158,CyberKnights,1998.0,Connecticut,195,"['2018cmpmi', '2018cthar', '2018ctsct', '2018necmp']",210.73415647263664,14.388588572571921,196.34556790006476,39.333333333333336,11.0,1.0,0.0,791.6666666666666,495.6666666666667,3381.6666666666665,438.3333333333333
frc199,95,95,160,Deep Blue,1998.0,California,199,"['2018cada', '2018casf']",101.10430328491047,91.15499806863218,9.949305216278358,13.0,4.5,4.5,0.0,387.5,232.5,1585.0,285.0
frc201,96,96,161,The FEDS,1998.0,Michigan,201,"['2018micmp4', '2018mimil', '2018miwat']",113.3340308854577,88.90802225978219,24.426008625675482,21.666666666666668,5.666666666666667,6.333333333333333,0.0,625.0,335.3333333333333,2446.3333333333335,325.0
frc203,97,97,163,SOUPer BOTS,1998.0,New Jersey,203,"['2018mrcmp', '2018njtab', '2018pahat', '2018pawch']",110.6174886046605,109.65495045494646,0.9625381497139944,21.0,6.5,5.25,0.0,572.5,335.0,2362.0,323.75
frc204,98,98,164,Eastern Robotic Vikings,1998.0,New Jersey,204,"['2018njtab', '2018paphi', '2018pawch']",29.20090329728087,125.83113723990179,-96.6302339426209,13.666666666666666,3.6666666666666665,8.333333333333334,0.0,503.3333333333333,284.3333333333333,1693.3333333333333,210.0
frc207,99,99,165,METALCRAFTERS,1999.0,California,207,['2018cair'],111.86700330507328,67.32029869022801,44.546704614845275,18.0,6.0,4.0,0.0,350.0,228.0,1743.0,215.0
frc213,100,100,169,The Dirty Birds,1999.0,New Hampshire,213,"['2018mawor', '2018nhdur']",105.3250700065066,102.85313269666186,2.471937309844712,22.0,7.0,5.0,0.0,532.5,320.0,2012.0,385.0
frc216,101,101,171,More RoboDawgs,1999.0,Michigan,216,"['2018hiho', '2018miken', '2018misjo']",54.05418001369378,120.36393730795969,-66.3097572942659,15.333333333333334,5.666666666666667,6.666666666666667,0.0,436.6666666666667,221.0,1894.6666666666667,250.0
frc217,102,102,172,ThunderChickens,1999.0,Michigan,217,"['2018cmpmi', '2018micmp4', '2018mike2', '2018mimar', '2018paca']",199.2466898160629,46.207986274042554,153.03870354202041,30.0,10.5,0.75,0.0,748.75,341.5,2968.0,383.75
frc219,103,103,173,Team Impact,1999.0,New Jersey,219,"['2018mrcmp', '2018njbri', '2018njfla', '2018pahat']",113.22139517025643,86.59776555579708,26.623629614459343,21.75,6.25,5.75,0.0,552.5,388.0,2389.75,300.0
frc222,104,104,175,Tigertrons,1999.0,Pennsylvania,222,"['2018mrcmp', '2018njfla', '2018njski']",143.42917347533228,99.23807073594367,44.19110273938865,26.0,8.333333333333334,3.6666666666666665,0.0,618.3333333333334,397.6666666666667,2640.6666666666665,436.6666666666667
frc223,105,105,176,Xtreme Heat,1999.0,New Jersey,223,"['2018mrcmp', '2018njfla', '2018njtab', '2018nyut']",127.37104530674122,116.25506443876598,11.115980867975187,21.25,6.75,5.25,0.0,705.0,329.75,2418.5,381.25
frc224,106,106,177,The Tribe,1999.0,New Jersey,224,"['2018njbri', '2018njtab']",82.20183488118107,95.49523543240309,-13.29340055122203,17.0,5.5,6.5,0.0,545.0,291.0,2048.5,242.5
frc225,107,107,178,TechFire,1999.0,Pennsylvania,225,"['2018cmpmi', '2018mrcmp', '2018njski', '2018paphi', '2018vagdc']",201.3230332032546,25.565663861035286,175.7573693422194,31.75,10.25,1.5,0.0,726.25,481.0,3129.25,393.75
frc226,108,108,179,Hammerheads,1999.0,Michigan,226,"['2018inmis', '2018micmp4', '2018micmp', '2018mifor', '2018migay', '2018mitry']",138.8351138947287,101.55487982536697,37.2802340693617,23.8,6.8,5.2,0.0,662.0,411.6,2559.0,440.0
frc228,109,109,181,GUS Robotics,1999.0,Connecticut,228,"['2018ctsct', '2018ctwat']",137.7577047670337,101.96108163110776,35.79662313592597,20.5,6.5,5.5,0.0,595.0,312.0,2541.5,410.0
frc229,110,110,182,Division By Zero,1999.0,New York,229,"['2018nysu', '2018nytr']",101.48603376238714,104.67081283039133,-3.1847790680042074,19.5,6.5,6.0,0.0,622.5,253.0,2234.5,445.0
frc230,111,111,183,Gaelhawks,1999.0,Connecticut,230,"['2018cmpmi', '2018cthar', '2018ctsct', '2018ctwat', '2018necmp']",209.90033077463298,35.60689072792162,174.29344004671134,33.5,10.5,1.5,0.0,751.25,471.5,3222.75,395.0
frc231,112,112,184,High Voltage,1998.0,Texas,231,"['2018txho', '2018txpa']",99.37249899388452,125.9781108446842,-26.605611850799708,13.5,4.0,9.0,0.0,490.0,256.5,2299.5,385.0
frc233,113,113,186,The Pink Team,1999.0,Florida,233,"['2018flor', '2018mnmi']",155.34173611904345,39.195494805514706,116.14624131352888,19.0,6.5,2.0,0.0,412.5,256.5,1932.0,255.0
frc234,114,114,187,Cyber Blue,1999.0,Indiana,234,"['2018cmpmi', '2018incmp', '2018inmis', '2018inpla', '2018ohmv']",146.3180868744543,79.81216726238759,66.50591961206678,24.75,7.0,4.25,0.0,675.0,409.75,2581.25,327.5
frc236,115,115,189,Techno-Ticks,1999.0,Connecticut,236,"['2018cmpmi', '2018cthar', '2018ctwat']",126.97067074378032,87.35818043222795,39.61249031155235,21.5,6.0,6.0,0.0,590.0,366.0,2445.0,302.5
frc237,116,116,190,Black Magic Robotics,1999.0,Connecticut,237,"['2018cmpmi', '2018ctwat', '2018melew', '2018necmp']",140.17919798812588,93.55796707168419,46.621230916441625,24.333333333333332,6.666666666666667,5.333333333333333,0.0,723.3333333333334,370.3333333333333,2545.6666666666665,418.3333333333333
